time_lr_original_feats;time_lr_selected_feats;time_gnb_original_feats;time_gnb_selected_feats;time_rf_original_feats;time_rf_selected_feats;time_svc_original_feats;time_svc_selected_feats;time_nn_original_feats;time_nn_selected_feats
0.48;0.985;0.016;0.002;0.6;1.119;0.604;1.046;0.589;1.117
0.806;1.208;0.016;0.002;0.749;1.15;0.587;1.039;0.571;1.045
0.598;1.033;0.015;0.003;0.592;1.043;0.6;1.055;0.572;1.005
0.504;0.967;0.016;0.002;0.503;1.007;0.502;0.966;0.519;1.001
0.53;0.975;0.015;0.002;0.487;0.974;0.473;0.967;0.471;0.969
0.488;0.986;0.015;0.002;0.51;0.976;0.475;1.005;0.503;0.968
0.498;1.007;0.016;0.003;0.471;0.972;0.483;0.975;0.474;0.986
0.475;0.971;0.016;0.002;0.553;1.151;0.664;1.202;0.675;1.121
0.498;0.97;0.016;0.003;0.57;0.984;0.49;0.967;0.479;0.971
0.492;0.967;0.016;0.002;0.496;0.972;0.485;0.954;0.49;1.063
