time_acc_lr_original_feats;time_acc_lr_selected_feats;time_acc_neight_original_feats;time_acc_neight_selected_feats;time_acc_gnb_original_feats;time_acc_gnb_selected_feats;time_acc_rf_original_feats;time_acc_rf_selected_feats;time_prec_lr_original_feats;time_prec_lr_selected_feats;time_prec_neight_original_feats;time_prec_neight_selected_feats;time_prec_gnb_original_feats;time_prec_gnb_selected_feats;time_prec_rf_original_feats;time_prec_rf_selected_feats;time_rec_lr_original_feats;time_rec_lr_selected_feats;time_rec_neight_original_feats;time_rec_neight_selected_feats;time_rec_gnb_original_feats;time_rec_gnb_selected_feats;time_rec_rf_original_feats;time_rec_rf_selected_feats;time_f1_lr_original_feats;time_f1_lr_selected_feats;time_f1_neight_original_feats;time_f1_neight_selected_feats;time_f1_gnb_original_feats;time_f1_gnb_selected_feats;time_f1_rf_original_feats;time_f1_rf_selected_feats
6.766;12.657;0.203;0.078;0.25;0.031;9.132;3.078;6.925;12.53;0.219;0.078;0.234;0.047;9.425;3.084;7.026;12.862;0.203;0.078;0.219;0.047;9.329;3.109;7.111;13.336;0.188;0.078;0.234;0.047;9.44;3.19
7.187;13.079;0.203;0.078;0.219;0.031;9.454;3.203;7.204;12.992;0.219;0.078;0.25;0.047;9.595;3.125;7.111;12.877;0.203;0.078;0.219;0.031;9.142;3.148;7.477;13.266;0.213;0.063;0.234;0.031;9.413;3.109
7.079;12.749;0.203;0.078;0.219;0.047;9.828;3.361;7.032;12.729;0.203;0.062;0.234;0.031;9.579;3.078;7.016;12.85;0.219;0.062;0.25;0.031;9.999;3.235;7.047;12.731;0.219;0.094;0.234;0.031;9.504;3.095
7.083;13.097;0.219;0.078;0.203;0.031;9.36;3.25;7.048;12.794;0.188;0.078;0.25;0.047;9.516;3.064;6.964;12.971;0.203;0.078;0.234;0.047;9.189;3.109;7.001;12.833;0.188;0.078;0.203;0.047;9.548;3.063
7.359;12.783;0.203;0.094;0.234;0.031;9.509;3.078;6.997;13.189;0.203;0.094;0.219;0.031;9.548;3.276;7.204;12.813;0.203;0.062;0.234;0.031;9.497;3.145;7.131;12.796;0.234;0.109;0.234;0.031;10.126;3.11
7.062;12.835;0.203;0.078;0.219;0.047;9.768;3.109;7.126;13.282;0.25;0.094;0.219;0.047;9.517;3.157;7.02;13.017;0.203;0.078;0.234;0.031;9.694;3.188;7.087;13.17;0.234;0.078;0.219;0.031;9.33;3.109
7.532;12.852;0.211;0.078;0.219;0.031;9.382;3.103;7.329;13.079;0.219;0.078;0.25;0.031;9.564;3.204;7.065;12.72;0.203;0.078;0.203;0.047;9.584;3.156;7.11;13.08;0.234;0.078;0.25;0.031;9.293;3.099
7.093;13.44;0.234;0.078;0.234;0.047;9.657;3.156;7.103;12.83;0.203;0.078;0.203;0.047;9.175;3.109;7.126;13.111;0.203;0.078;0.25;0.047;9.631;3.172;7.079;13.197;0.188;0.094;0.25;0.031;9.388;3.111
7.016;13.024;0.187;0.078;0.219;0.031;9.688;3.25;7.1;12.998;0.203;0.063;0.234;0.031;9.655;3.109;7.454;12.616;0.203;0.094;0.234;0.047;9.344;3.111;6.998;13.055;0.203;0.062;0.25;0.031;9.689;3.172
6.945;12.919;0.203;0.082;0.234;0.031;9.427;3.114;7.107;13.032;0.219;0.078;0.25;0.031;9.484;3.236;7.117;12.742;0.188;0.078;0.203;0.047;9.634;3.172;6.971;13.032;0.219;0.078;0.203;0.047;9.517;3.298
