time_acc_dt_original_feats;time_acc_dt_selected_feats;time_acc_neight_original_feats;time_acc_neight_selected_feats;time_acc_gnb_original_feats;time_acc_gnb_selected_feats;time_acc_rf_original_feats;time_acc_rf_selected_feats;time_acc_mlp_original_feats;time_acc_mlp_selected_feats;time_acc_svc_original_feats;time_acc_svc_selected_featstime_prec_dt_original_feats;time_prec_dt_selected_feats;time_prec_neight_original_feats;time_prec_neight_selected_feats;time_prec_gnb_original_feats;time_prec_gnb_selected_feats;time_prec_rf_original_feats;time_prec_rf_selected_feats;time_prec_mlp_original_feats;time_prec_mlp_selected_feats;time_prec_svc_original_feats;time_prec_svc_selected_featstime_rec_dt_original_feats;time_rec_dt_selected_feats;time_rec_neight_original_feats;time_rec_neight_selected_feats;time_rec_gnb_original_feats;time_rec_gnb_selected_feats;time_rec_rf_original_feats;time_rec_rf_selected_feats;time_rec_mlp_original_feats;time_rec_mlp_selected_feats;time_rec_svc_original_feats;time_rec_svc_selected_featstime_f1_dt_original_feats;time_f1_dt_selected_feats;time_f1_neight_original_feats;time_f1_neight_selected_feats;time_f1_gnb_original_feats;time_f1_gnb_selected_feats;time_f1_rf_original_feats;time_f1_rf_selected_feats;time_f1_mlp_original_feats;time_f1_mlp_selected_feats;time_f1_svc_original_feats;time_f1_svc_selected_feats;time_acc_svc_selected_feats;time_f1_dt_original_feats;time_prec_dt_original_feats;time_prec_svc_selected_feats;time_rec_dt_original_feats;time_rec_svc_selected_feats
0.516;0.063;2.4530000000000003;0.25;0.23399999999999999;0.047;9.301;3.2430000000000003;18.701;7.297000000000001;8.432;;0.078;2.437;0.25;0.21899999999999997;0.047;9.203;3.159;14.968;7.2410000000000005;8.323;;0.079;2.4530000000000003;0.25;0.23399999999999999;0.047;9.388;3.125;17.093;7.452999999999999;7.875;;0.063;2.4530000000000003;0.237;0.23399999999999999;0.031;9.219;3.1260000000000003;15.874;7.234;7.766;0.42200000000000004;0.456;0.531;0.516;0.42700000000000005;0.531;0.43700000000000006
0.531;0.063;2.5;0.25;0.21899999999999997;0.047;9.407;3.2030000000000003;15.095999999999998;7.359;7.746;;0.063;2.4530000000000003;0.25;0.21899999999999997;0.047;9.297;3.111;16.148;7.235;7.939;;0.078;2.438;0.25;0.21899999999999997;0.047;9.187000000000001;3.125;14.407;7.282;7.735;;0.062;2.516;0.25;0.21899999999999997;0.047;9.266;3.133;16.843;7.439;7.767;0.43700000000000006;0.42200000000000004;0.531;0.531;0.43799999999999994;0.516;0.42200000000000004
0.516;0.078;2.439;0.23399999999999999;0.23399999999999999;0.031;9.187000000000001;3.109;15.862;7.222;7.736000000000001;;0.078;2.516;0.25;0.23399999999999999;0.047;9.411;3.188;16.003;7.251;7.752000000000001;;0.063;2.437;0.25;0.21899999999999997;0.047;9.291;3.156;14.845;7.267;7.922999999999999;;0.078;2.438;0.25;0.21899999999999997;0.047;9.173;3.125;15.754000000000001;7.235;7.771;0.42200000000000004;0.42200000000000004;0.516;0.531;0.43799999999999994;0.531;0.43799999999999994
0.516;0.078;2.484;0.25;0.21899999999999997;0.047;9.361;3.109;16.090999999999998;7.531000000000001;7.736000000000001;;0.062;2.455;0.23399999999999999;0.23399999999999999;0.047;9.187999999999999;3.125;16.048;7.25;7.732;;0.063;2.439;0.25;0.21899999999999997;0.047;9.406;3.188;14.362;7.266;7.72;;0.062;2.445;0.258;0.21899999999999997;0.047;9.196;3.125;16.565;7.2589999999999995;7.933;0.43700000000000006;0.42200000000000004;0.516;0.516;0.425;0.516;0.42200000000000004
0.516;0.078;2.424;0.25;0.21899999999999997;0.031;9.187000000000001;3.109;15.11;7.234;7.781000000000001;;0.062;2.504;0.266;0.21899999999999997;0.047;9.406;3.158;16.689;7.532;7.723;;0.078;2.44;0.23399999999999999;0.23399999999999999;0.047;9.187000000000001;3.125;14.329;7.297000000000001;7.734;;0.063;2.4530000000000003;0.23399999999999999;0.23399999999999999;0.031;9.391;3.205;15.782;7.235;7.723;0.42200000000000004;0.42200000000000004;0.531;0.531;0.42200000000000004;0.516;0.42200000000000004
0.516;0.078;2.4219999999999997;0.25;0.21899999999999997;0.031;9.19;3.134;16.112000000000002;7.297999999999999;7.906000000000001;;0.063;2.4530000000000003;0.25;0.21899999999999997;0.047;9.22;3.1260000000000003;16.047;7.2410000000000005;7.789;;0.078;2.5;0.25;0.23399999999999999;0.047;9.408;3.187;16.206;7.516;7.735;;0.078;2.469;0.266;0.23399999999999999;0.047;9.345;3.173;15.082;7.257000000000001;7.781000000000001;0.42200000000000004;0.42200000000000004;0.516;0.516;0.42200000000000004;0.531;0.42200000000000004
0.579;0.077;2.952;0.33;0.3;0.053;10.693;3.542;19.192;8.732000000000001;7.946000000000001;;0.086;2.87;0.28300000000000003;0.273;0.055;10.116;3.4760000000000004;21.706999999999997;8.67;9.942;;0.077;2.8539999999999996;0.27899999999999997;0.27399999999999997;0.053;10.191;3.5780000000000003;18.944000000000003;8.434;8.573;;0.08199999999999999;2.74;0.267;0.242;0.055;10.844000000000001;3.531;20.199;8.812999999999999;9.076;0.46399999999999997;0.44299999999999995;0.557;0.5670000000000001;0.49700000000000005;0.54;0.475
0.551;0.079;2.7319999999999998;0.266;0.239;0.043;10.285;3.6239999999999997;18.965;8.137;9.166;;0.08199999999999999;2.735;0.275;0.253;0.051;10.167;3.591;19.704;8.369;9.044;;0.081;2.6889999999999996;0.26899999999999996;0.24600000000000002;0.051;10.099;3.304;16.805;7.859;9.113999999999999;;0.075;2.5580000000000003;0.255;0.233;0.046;9.623;3.2539999999999996;15.888;7.72;7.994;0.43700000000000006;0.473;0.539;0.556;0.518;0.557;0.479
0.527;0.07;2.605;0.255;0.233;0.044000000000000004;9.604;3.2969999999999997;15.37;7.774;8.054;;0.094;2.733;0.27399999999999997;0.248;0.055999999999999994;10.443;3.53;18.699;8.059;9.766;;0.083;2.6180000000000003;0.259;0.23800000000000002;0.047;9.804;3.342;19.292;8.211;9.141;;0.077;2.5860000000000003;0.264;0.235;0.046;9.972999999999999;3.429;18.417;7.803;8.947000000000001;0.528;0.43200000000000005;0.537;0.564;0.488;0.544;0.527
0.541;0.07200000000000001;2.6319999999999997;0.261;0.24100000000000002;0.043;9.923;3.3310000000000004;17.718;7.852;8.493;;0.08;2.719;0.267;0.247;0.05;10.156;3.4139999999999997;17.636;8.165;9.056000000000001;;0.083;2.79;0.28300000000000003;0.256;0.053;10.307;3.489;17.875999999999998;8.225;8.738;;0.081;2.753;0.272;0.272;0.055;10.24;3.4789999999999996;18.309;8.097000000000001;8.887;0.474;0.45;0.5539999999999999;0.573;0.488;0.562;0.461
