time_acc_lr_original_feats;time_acc_lr_selected_feats;time_acc_neight_original_feats;time_acc_neight_selected_feats;time_acc_gnb_original_feats;time_acc_gnb_selected_feats;time_acc_rf_original_feats;time_acc_rf_selected_feats;time_prec_lr_original_feats;time_prec_lr_selected_feats;time_prec_neight_original_feats;time_prec_neight_selected_feats;time_prec_gnb_original_feats;time_prec_gnb_selected_feats;time_prec_rf_original_feats;time_prec_rf_selected_feats;time_rec_lr_original_feats;time_rec_lr_selected_feats;time_rec_neight_original_feats;time_rec_neight_selected_feats;time_rec_gnb_original_feats;time_rec_gnb_selected_feats;time_rec_rf_original_feats;time_rec_rf_selected_feats;time_f1_lr_original_feats;time_f1_lr_selected_feats;time_f1_neight_original_feats;time_f1_neight_selected_feats;time_f1_gnb_original_feats;time_f1_gnb_selected_feats;time_f1_rf_original_feats;time_f1_rf_selected_feats
6.902;12.393;0.203;0.078;0.219;0.031;9.459;3.027;6.909;12.608;0.203;0.078;0.234;0.047;9.687;3.055;7.5;12.691;0.188;0.094;0.25;0.031;9.564;3.125;7.048;12.715;0.187;0.078;0.25;0.047;9.961;3.198
7.073;12.71;0.203;0.078;0.219;0.031;9.367;3.117;7.111;12.895;0.203;0.078;0.25;0.031;9.725;3.078;7.079;12.798;0.219;0.078;0.234;0.047;9.922;3.204;7.142;13.245;0.203;0.094;0.25;0.031;9.189;3.125
7.11;12.752;0.203;0.062;0.219;0.031;9.669;3.125;7.204;13.071;0.203;0.078;0.25;0.031;9.281;3.331;7.11;12.642;0.219;0.078;0.25;0.031;9.345;3.093;7.376;12.795;0.203;0.078;0.219;0.031;9.501;3.25
6.954;12.877;0.219;0.062;0.219;0.031;9.595;3.189;7.047;12.931;0.219;0.078;0.219;0.031;9.095;3.209;7.088;12.626;0.219;0.094;0.219;0.047;9.547;3.22;6.994;12.864;0.203;0.078;0.234;0.031;9.569;3.072
7.017;12.648;0.234;0.078;0.266;0.047;9.913;3.156;7.11;12.686;0.25;0.109;0.266;0.047;9.452;3.069;6.997;12.908;0.203;0.062;0.219;0.047;9.25;3.094;6.907;12.762;0.188;0.062;0.234;0.031;9.416;3.215
7.005;13.004;0.219;0.062;0.234;0.031;9.615;3.236;6.961;12.831;0.203;0.078;0.219;0.031;9.589;3.266;7.314;12.645;0.188;0.078;0.25;0.047;9.408;3.094;6.935;12.653;0.219;0.078;0.234;0.031;9.641;3.047
7.001;12.739;0.219;0.062;0.219;0.031;9.32;3.126;7.094;12.658;0.203;0.078;0.25;0.031;9.47;3.047;6.946;12.684;0.219;0.078;0.24;0.031;9.402;3.193;7.0;12.727;0.219;0.078;0.25;0.031;9.255;3.078
7.085;12.558;0.219;0.078;0.219;0.031;9.361;3.111;6.967;13.259;0.219;0.094;0.219;0.047;9.221;3.251;6.995;12.726;0.203;0.063;0.25;0.031;9.344;3.132;7.339;12.672;0.188;0.094;0.234;0.031;9.292;3.094
7.007;12.699;0.203;0.063;0.203;0.047;9.501;3.188;7.236;12.714;0.188;0.078;0.25;0.047;9.563;3.078;7.076;12.677;0.219;0.078;0.219;0.047;9.445;3.119;7.054;12.616;0.188;0.094;0.234;0.031;9.345;3.094
7.094;12.846;0.219;0.078;0.203;0.031;9.433;3.204;7.017;12.75;0.227;0.078;0.219;0.047;9.489;3.172;6.922;12.908;0.203;0.078;0.234;0.047;9.361;3.141;7.016;12.57;0.219;0.078;0.219;0.047;9.303;3.141
6.991;12.87;0.219;0.078;0.219;0.031;9.34;3.132;7.056;12.737;0.234;0.078;0.219;0.031;9.391;3.094;7.274;12.6;0.219;0.078;0.25;0.047;9.361;3.161;7.062;12.806;0.234;0.078;0.25;0.031;9.61;3.356
7.035;12.609;0.219;0.078;0.219;0.047;9.507;3.234;7.116;12.641;0.219;0.079;0.234;0.047;9.323;3.086;6.983;12.71;0.234;0.078;0.25;0.047;9.502;3.173;7.027;12.694;0.219;0.094;0.25;0.047;9.234;3.147
7.01;12.595;0.188;0.078;0.219;0.047;9.282;3.234;6.851;12.818;0.219;0.078;0.234;0.031;9.266;3.078;6.938;12.699;0.187;0.078;0.219;0.031;9.438;3.141;7.016;12.786;0.203;0.094;0.219;0.047;9.489;3.062
7.103;13.006;0.219;0.094;0.219;0.031;9.58;3.203;7.332;12.674;0.187;0.078;0.234;0.047;9.356;3.083;6.954;12.672;0.219;0.078;0.219;0.047;9.559;3.276;6.923;12.495;0.203;0.078;0.219;0.031;9.263;3.125
6.959;12.454;0.203;0.063;0.219;0.048;9.475;3.141;6.969;12.673;0.201;0.062;0.234;0.031;9.031;3.188;7.0;12.823;0.219;0.078;0.266;0.047;9.0;3.141;7.081;12.532;0.219;0.078;0.219;0.031;9.609;3.236
6.851;12.788;0.219;0.078;0.219;0.031;9.142;3.141;7.001;12.563;0.219;0.062;0.234;0.031;9.184;3.067;6.835;12.728;0.188;0.078;0.219;0.047;9.128;3.094;7.038;12.496;0.188;0.078;0.25;0.047;9.011;3.032
7.297;12.466;0.188;0.094;0.219;0.047;9.267;3.047;7.213;12.626;0.203;0.078;0.234;0.047;9.455;3.314;6.68;12.337;0.219;0.078;0.219;0.047;9.094;3.196;7.04;12.536;0.219;0.078;0.219;0.031;9.451;3.338
6.937;12.694;0.203;0.078;0.203;0.031;9.32;3.078;7.114;12.444;0.219;0.062;0.234;0.047;9.376;3.062;6.845;12.744;0.188;0.078;0.234;0.031;9.118;3.062;7.063;12.689;0.234;0.062;0.234;0.031;9.229;3.064
6.859;12.47;0.219;0.063;0.25;0.047;9.302;3.203;7.033;13.088;0.188;0.062;0.234;0.031;9.053;3.106;6.757;12.73;0.203;0.078;0.219;0.047;9.454;3.098;7.387;12.876;0.219;0.063;0.231;0.047;9.347;3.31
6.875;12.548;0.188;0.062;0.219;0.031;9.076;3.312;7.282;12.591;0.188;0.088;0.203;0.047;9.259;3.092;6.869;12.523;0.219;0.078;0.234;0.047;9.861;3.192;7.073;12.765;0.203;0.095;0.245;0.047;9.867;3.292
6.905;12.664;0.203;0.063;0.234;0.031;9.518;3.254;7.881;12.62;0.219;0.094;0.234;0.047;9.408;3.359;6.923;13.299;0.188;0.078;0.266;0.047;9.169;3.104;7.19;12.736;0.203;0.078;0.219;0.031;9.243;3.379
