time_acc_rf_gr_feature_selection;time_acc_rf_r_feature_selection;time_acc_rf_gr_r_feature_selection
2.823;3.855;3.756
2.766;3.795;3.581
2.856;3.756;3.483
3.117;3.465;3.296
2.499;3.442;3.284
2.469;3.484;3.404
2.576;3.479;3.245
2.582;3.834;3.424
2.645;3.666;3.412
2.494;3.325;3.222
2.446;3.308;3.18
2.461;3.326;3.17
2.48;3.424;3.273
2.658;3.62;3.273
2.605;3.597;3.653
2.647;3.609;3.515
2.771;3.863;3.653
2.661;3.551;3.327
2.488;3.707;3.558
2.661;3.567;3.446
2.785;3.667;3.325
2.647;3.566;3.336
2.611;3.583;3.34
2.575;3.439;3.413
2.623;3.509;3.602
2.842;3.664;3.385
2.507;3.447;3.316
2.675;3.511;3.161
2.615;3.414;3.175
2.452;3.328;3.272
2.448;3.295;3.217
2.496;3.368;3.227
2.505;3.358;3.217
2.492;3.375;3.434
2.507;3.343;3.153
2.457;3.296;3.149
2.518;3.553;3.174
2.5;3.61;3.461
2.668;3.746;3.703
2.623;3.474;3.49
2.624;3.533;3.241
2.554;3.375;3.285
2.777;3.545;3.533
2.806;4.074;3.627
2.792;3.704;3.657
2.806;3.642;3.541
2.71;3.657;3.485
2.693;3.648;3.468
2.678;3.615;3.46
2.692;3.639;3.476
