time_acc_rf_gr_feature_selection;time_acc_rf_r_feature_selection;time_acc_rf_gr_r_feature_selection;time_acc_gnb_gr;time_acc_gnb_gr_r;time_acc_gnb_r
;;;0.047;0.047;0.047
;;;0.032;0.05;0.047
;;;0.047;0.043;0.045
;;;0.044;0.047;0.036
;;;0.047;0.052;0.031
;;;0.042;0.047;0.031
;;;0.047;0.031;0.047
;;;0.054;0.047;0.04
;;;0.032;0.047;0.047
;;;0.031;0.037;0.057
;;;0.047;0.031;0.047
;;;0.047;0.047;0.047
;;;0.047;0.047;0.031
;;;0.047;0.047;0.032
;;;0.047;0.047;0.031
;;;0.047;0.032;0.047
;;;0.047;0.045;0.049
;;;0.031;0.047;0.047
;;;0.047;0.051;0.031
;;;0.043;0.047;0.031
;;;0.047;0.031;0.047
;;;0.054;0.047;0.04
;;;0.032;0.047;0.047
;;;0.047;0.038;0.041
;;;0.047;0.031;0.047
;;;0.032;0.047;0.047
;;;0.047;0.044;0.05
;;;0.047;0.031;0.047
;;;0.047;0.047;0.031
;;;0.047;0.047;0.047
;;;0.047;0.047;0.032
;;;0.047;0.032;0.047
;;;0.031;0.043;0.051
;;;0.047;0.047;0.032
;;;0.047;0.047;0.047
;;;0.047;0.047;0.047
;;;0.047;0.056;0.031
;;;0.038;0.047;0.047
;;;0.031;0.047;0.047
;;;0.047;0.047;0.031
;;;0.047;0.032;0.047
;;;0.047;0.031;0.047
;;;0.031;0.047;0.047
;;;0.032;0.048;0.047
;;;0.046;0.047;0.031
;;;0.047;0.054;0.032
;;;0.049;0.031;0.047
;;;0.033;0.047;0.047
;;;0.047;0.047;0.032
;;;0.048;0.047;0.046
