time_acc_rf_gr_feature_selection;time_acc_rf_r_feature_selection;time_acc_rf_gr_r_feature_selection;time_acc_mlp_gr;time_acc_mlp_gr_r;time_acc_mlp_r
;;;6.639;6.287;6.276
;;;6.845;6.598;6.553
;;;6.854;6.521;6.539
;;;6.669;6.293;6.329
;;;6.64;6.435;6.46
;;;6.668;6.32;6.319
;;;6.628;6.317;6.336
;;;6.636;6.566;6.414
;;;6.899;6.599;6.487
;;;6.803;6.333;6.305
;;;6.616;6.345;6.37
;;;6.618;6.316;6.322
;;;6.647;6.297;6.32
;;;6.641;6.592;6.421
;;;6.925;6.554;6.554
;;;6.798;6.286;6.339
;;;6.632;6.38;6.32
;;;6.664;6.295;6.316
;;;6.646;6.368;6.318
;;;6.641;6.435;6.317
;;;6.877;6.529;6.542
;;;6.865;6.317;6.398
;;;6.618;6.356;6.313
;;;6.664;6.304;6.319
;;;6.649;6.292;6.313
;;;6.618;6.333;6.318
;;;6.888;6.541;6.536
;;;6.923;6.353;6.537
;;;6.629;6.307;6.315
;;;6.676;6.305;6.32
;;;6.62;6.293;6.304
;;;6.626;6.318;6.298
;;;6.762;6.54;6.52
;;;6.912;6.404;6.548
;;;6.635;6.323;6.296
;;;6.68;6.304;6.318
;;;6.646;6.38;6.321
;;;6.709;6.319;6.318
;;;6.653;6.603;6.559
;;;6.867;6.487;6.576
;;;6.686;6.326;6.31
;;;6.647;6.305;6.366
;;;6.624;6.31;6.316
;;;6.644;6.576;6.356
;;;6.856;6.491;7.054
;;;6.802;6.492;6.445
;;;6.638;6.273;6.272
;;;6.602;6.281;6.32
;;;6.59;6.288;6.284
;;;6.602;6.273;6.273
